Token_list,Label_list,Token_length,Label_length
"('Steel', '101', 'Low carbon steel', 'Automobile components;Construction materials;Pipes and tubes', '22x33x1', 'sheet')","('Metal', 'Grade', 'Description', 'Common Uses', 'Dimensions', 'Shape')",6,6
"('Nickel', 'Inconel 625', 'Nickel-chromium alloy (61% nickel, 22% chromium, 9% molybdenum)', 'Oil and gas industry components;Chemical processing equipment;Aerospace thrust chambers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Nickel', 'Hastelloy C276', 'Nickel-molybdenum-chromium alloy (57% nickel, 16% molybdenum, 16% chromium)', 'Corrosion-resistant vessels;Petrochemical reactors;Pharmaceutical processing equipment')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Cobalt', 'Stellite 6', 'Cobalt-chromium alloy (57% cobalt, 31% chromium, 9% tungsten)', 'Cutting tools;Valve seats;Bearings')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Cobalt', 'Haynes 188', 'Cobalt-chromium-nickel alloy (39% cobalt, 22% chromium, 20% nickel)', 'Gas turbine blades;Combustion liners;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Cobalt', 'X-750', 'Cobalt-nickel-chromium-titanium alloy (70% cobalt, 15% nickel, 7% chromium)', 'Springs;Aircraft engine components;High-temperature bolts')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Vanadium', 'Grade 2', 'Pure vanadium', 'Vanadium redox flow batteries;Alloying agent in steel production;Nuclear reactor components')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Vanadium', 'Vanadium 10V', 'Vanadium-titanium-chromium alloy (10% vanadium, 10% titanium, 1% chromium)', 'Aircraft landing gears;Drill bits;High-speed cutting tools')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Vanadium', 'Vanadis 23', 'Vanadium-chromium-molybdenum alloy (23% vanadium, 10% chromium, 3% molybdenum)', 'Injection molding tools;Extrusion dies;Forging dies')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Chromium', 'Type 304L', 'Chromium-nickel austenitic stainless steel (18% chromium, 8% nickel)', 'Food processing equipment;Chemical tanks;Architectural trim')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Chromium', 'Type 316L', 'Chromium-nickel-molybdenum austenitic stainless steel (16% chromium, 10% nickel, 2% molybdenum)', 'Pharmaceutical equipment;Marine fittings;Heat exchangers')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Chromium', 'Type 410', 'Chromium martensitic stainless steel (11.5% chromium)', 'Cutlery;Surgical instruments;Pump shafts')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Manganese', '65Mn', 'High carbon manganese spring steel (0.65% manganese, 0.7% carbon)', 'Leaf springs;Saw blades;Farm machinery components')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Manganese', 'Hadfield steel', 'High manganese austenitic steel (12-14% manganese)', 'Railroad crossings;Rock crushers;Excavator buckets')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Manganese', 'Austenitic manganese steel', 'Non-magnetic steel with high manganese content (12-14% manganese)', 'Jaw crushers;Cone crushers;Magnetic separator drums')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Molybdenum', 'Molybdenum TZM', 'Molybdenum alloy (0.5% titanium, 0.08% zirconium, 0.02% carbon)', 'Rocket nozzles;Vacuum furnace elements;Sintering trays')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
"('Molybdenum', 'MoCu', 'Molybdenum-copper alloy (30-40% molybdenum)', 'Semiconductor heat sinks;High-power microwave devices;X-ray tube targets')","('Metal', 'Grade', 'Description', 'Common Uses')",4,4
